code,biao,Work_type,Work_profit,Health_type,Health_profit,Repay_type,Repay_profit,Loan_type,Loan_profit,Investment_type,Investment_profit,Venture_type,Venture_profit,Insurance_type,Insurance_profit,Lottery_type,Lottery_profit,Disaster_type,Disaster_profit,Ill_type,Ill_profit,Preference_type,Preference_profit,Patience_type,Patience_profit,start,end,profit,cash_before_patience,patience_profit,realend,realprofit
qrj0woux,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,3,-50,2,7.2,1,5,-91.9,-131.7,-39.8,-136.7,5,-131.7,-39.8
edydbr11,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-5,0,0,6,0,1,6.2,-51,-43.8,7.2,-50,6.2,-43.8,7.2
i3ugntg2,4,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,6,16,1,5.6,-57.5,-91.9,-34.4,-97.5,5.6,-91.9,-34.4
nil7z8nt,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,2,-30,3,7.5,1,0,-18.1,-38.6,-20.5,-38.6,0,-38.6,-20.5
i3wgnab9,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,1,-15,5,1.2,0,5,-22.7,-41.5,-18.8,-46.5,5,-41.5,-18.8
7rmwik5s,4,0,-30,0,0,0,0,0,0,1,0.07,1,0.05,1,-0.071,0,0,0,0,0,0,6,0,0,5,30.59,5.64,-24.95,0.64,5,5.64,-24.95
mzj836b0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,6,16,0,10.6,-38.8,-55.2,-16.4,-65.8,10.6,-55.2,-16.4
1gblxsq7,4,0,15,1,-5,1,-14.08,0,0,1,1.5,1,-20,1,-3.378,0,0,0,0,0,0,6,16,0,12,56.36,58.4,2.04,46.4,12,58.4,2.04
t9m6tgki,4,0,-15,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,3,-15,2,-30,2,2.4,1,6.4,-73.1,-125.3,-52.2,-131.7,6.4,-125.3,-52.2
4hjk8ew7,4,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-5,1,-15,6,16,0,11.4,-4.54,-1.14,3.4,-12.54,11.4,-1.14,3.4
luq8s82b,4,0,0,1,-5,0,0,0,0,1,2.25,1,-12,1,-3.138,1,-0.01,0,0,1,-7,4,1.8,0,11.4,46.13,34.43,-11.7,23.03,11.4,34.43,-11.7
96b2y1fq,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,4,9,0,5,-6.47,-18.47,-12,-23.47,5,-18.47,-12
iuy2mq1n,4,0,15,2,-10,0,0,1,0.56,1,0.5,1,4.5,1,-1.676,1,-2,0,0,1,-5,3,2.1,0,5,6.2,15.18,8.98,10.18,5,15.18,8.98
zca7zxyf,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,1,-15,3,2.1,1,5.8,-76.4,-91.5,-15.1,-97.3,5.8,-91.5,-15.1
jj2wn94h,4,0,18,1,-5,0,0,0,0,1,0.25,1,0,1,-1.931,1,-0.2,0,0,1,-7,1,5.7,1,0,6.06,15.88,9.82,15.88,0,15.88,9.82
68araqh7,4,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,2,-10,3,-50,3,2.1,1,6,-35,-117.9,-82.9,-123.9,6,-117.9,-82.9
zzpnlqei,4,0,12,2,-10,1,-1.32,0,0,1,1.6,1,2.5,1,-3.101,1,-0.91,0,0,2,-15,6,0,1,0,26.23,12,-14.23,12,0,12,-14.23
v5p7lv20,4,0,18,2,-10,0,0,0,0,1,-4.23,1,30,1,-11.04,1,-1,0,0,1,-5,2,2.4,0,5,76.63,100.76,24.13,95.76,5,100.76,24.13
